Code,Name,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases
NZL,New Zealand,1553,+3,22 ,,1506
MOZ,Mozambique,1491,+56,10 ,,472
ZWE,Zimbabwe,1478,,25 ,,439
TUN,Tunisia,1374,+26,50 ,,1097
NAM,Namibia,1247,+44,3 ,+1,35
JOR,Jordan,1218,+4,11 ,,1024
LVA,Latvia,1192,+3,31 ,,1022
NER,Niger,1104,,69 ,,1014
LBR,Liberia,1091,+3,70 ,,534
UGA,Uganda,1065,+3, ,,1023
BFA,Burkina Faso,1052,+5,53 ,,901
URY,Uruguay,1044,,33 ,,921
CYP,Cyprus,1038,+1,19 ,,845
GEO,Georgia,1028,+10,15 ,,899
SUR,Suriname,1001,,20 ,,610
TCD,Chad,889,,75 ,,801
AND,Andorra,880,,52 ,,803
TGO,Togo,774,,15 ,,548
JAM,Jamaica,774,+6,10 ,,679
STP,Sao Tome and Principe,746,+3,14 ,,451
AGO,Angola,705,+18,29 ,,221
SMR,San Marino,699,,42 ,,656
MLT,Malta,677,+1,9 ,,662
REU,Reunion,628,+4,3 ,,472
BWA,Botswana,522,,1 ,,48
TZA,Tanzania,509,,21 ,,183
SYR,Syria,496,,25 ,,144
TWN,Taiwan,455,+1,7 ,,440
VNM,Vietnam,383,+1, ,,357
LSO,Lesotho,359,,6 ,,69
MUS,Mauritius,343,,10 ,,332
MMR,Myanmar,341,+1,6 ,,276
IMN,Isle of Man,336,,24 ,,312
COM,Comoros,334,+6,7 ,,313
GUY,Guyana,327,,19 ,,163
BDI,Burundi,310,,1 ,,207
MNG,Mongolia,287,, ,,213
MTQ,Martinique,262,,15 ,,98
ERI,Eritrea,251,, ,,155
CYM,Cayman Islands,203,,1 ,,200
GLP,Guadeloupe,195,,14 ,,172
FRO,Faeroe Islands,191,+3, ,,188
GIB,Gibraltar,180,, ,,180
KHM,Cambodia,171,, ,,136
BMU,Bermuda,153,,9 ,,137
BRN,Brunei Darussalam,141,,3 ,,138
BHS,Bahamas,138,,11 ,,91
TTO,Trinidad and Tobago,137,,8 ,,124
ABW,Aruba,113,+2,3 ,,100
MCO,Monaco,109,,4 ,,98
SYC,Seychelles,108,, ,,27
BRB,Barbados,105,+1,7 ,,91
GMB,Gambia,93,,4 ,,49
BTN,Bhutan,87,, ,,80
LIE,Liechtenstein,86,,1 ,,81
SXM,Sint Maarten,79,,15 ,,63
ATG,Antigua and Barbuda,76,,3 ,,57
TCA,Turks and Caicos Islands,75,,2 ,,22
PYF,French Polynesia,62,, ,,60
MAF,Saint-Martin,46,,3 ,,39
MAC,Macao,46,, ,,46
BLZ,Belize,40,,2 ,,22
VCT,St. Vincent and the Grenadines,38,, ,,29
CUW,Curacao,28,,1 ,,24
FJI,Fiji,26,, ,,18
TLS,Timor-Leste,24,, ,,24
GRD,Grenada,23,, ,,23
LCA,St. Lucia,23,, ,,19
NCL,New Caledonia,22,, ,,21
LAO,Laos,19,, ,,19
DMA,Dominica,18,, ,,18
KNA,St. Kitts and Nevis,17,, ,,15
PNG,Papua New Guinea,16,, ,,8
FLK,Falkland Islands,13,, ,,13
GRL,Greenland,13,, ,,13
MSR,Montserrat,12,,1 ,,10
VAT,Vatican,12,, ,,12
ESH,Western Sahara,10,,1 ,,8
BES,"Bonaire, Saint Eustatius and Saba",10,, ,,7
VGB,British Virgin Islands,8,,1 ,,7
BLM,St. Barths,6,, ,,6
SPM,St. Pierre and Miquelon,4,, ,,1
AIA,Anguilla,3,, ,,3
CHN,China,83660,+16,4634 ,,78775
